dataset,seed,attack,budget,status,runtime_seconds,artifact_path
cic_iot_2023,42,fgsm,0.01,COMPLETED,1.376404047012329,/workspace/results/adversarial/cic_iot_2023/seed_42/fgsm/eps_001.json
cic_iot_2023,42,fgsm,0.03,COMPLETED,0.8845944404602051,/workspace/results/adversarial/cic_iot_2023/seed_42/fgsm/eps_003.json
cic_iot_2023,42,fgsm,0.05,COMPLETED,0.9042534828186035,/workspace/results/adversarial/cic_iot_2023/seed_42/fgsm/eps_005.json
cic_iot_2023,42,pgd,0.01,COMPLETED,1.5361864566802979,/workspace/results/adversarial/cic_iot_2023/seed_42/pgd/eps_001.json
cic_iot_2023,42,pgd,0.03,COMPLETED,1.2222857475280762,/workspace/results/adversarial/cic_iot_2023/seed_42/pgd/eps_003.json
cic_iot_2023,42,pgd,0.05,COMPLETED,1.561131477355957,/workspace/results/adversarial/cic_iot_2023/seed_42/pgd/eps_005.json
cic_iot_2023,123,fgsm,0.01,COMPLETED,1.5267705917358398,/workspace/results/adversarial/cic_iot_2023/seed_123/fgsm/eps_001.json
cic_iot_2023,123,fgsm,0.03,COMPLETED,0.8933155536651611,/workspace/results/adversarial/cic_iot_2023/seed_123/fgsm/eps_003.json
cic_iot_2023,123,fgsm,0.05,COMPLETED,0.8999378681182861,/workspace/results/adversarial/cic_iot_2023/seed_123/fgsm/eps_005.json
cic_iot_2023,123,pgd,0.01,COMPLETED,1.3890540599822998,/workspace/results/adversarial/cic_iot_2023/seed_123/pgd/eps_001.json
cic_iot_2023,123,pgd,0.03,COMPLETED,1.533280372619629,/workspace/results/adversarial/cic_iot_2023/seed_123/pgd/eps_003.json
cic_iot_2023,123,pgd,0.05,COMPLETED,1.3282406330108643,/workspace/results/adversarial/cic_iot_2023/seed_123/pgd/eps_005.json
cic_iot_2023,2026,fgsm,0.01,COMPLETED,0.8426835536956787,/workspace/results/adversarial/cic_iot_2023/seed_2026/fgsm/eps_001.json
cic_iot_2023,2026,fgsm,0.03,COMPLETED,0.8925297260284424,/workspace/results/adversarial/cic_iot_2023/seed_2026/fgsm/eps_003.json
cic_iot_2023,2026,fgsm,0.05,COMPLETED,1.0680863857269287,/workspace/results/adversarial/cic_iot_2023/seed_2026/fgsm/eps_005.json
cic_iot_2023,2026,pgd,0.01,COMPLETED,2.368225336074829,/workspace/results/adversarial/cic_iot_2023/seed_2026/pgd/eps_001.json
cic_iot_2023,2026,pgd,0.03,COMPLETED,1.2629344463348389,/workspace/results/adversarial/cic_iot_2023/seed_2026/pgd/eps_003.json
cic_iot_2023,2026,pgd,0.05,COMPLETED,1.3049952983856201,/workspace/results/adversarial/cic_iot_2023/seed_2026/pgd/eps_005.json
edge_iiotset,42,fgsm,0.01,COMPLETED,3.0555856227874756,/workspace/results/adversarial/edge_iiotset/seed_42/fgsm/eps_001.json
edge_iiotset,42,fgsm,0.03,COMPLETED,3.831265449523926,/workspace/results/adversarial/edge_iiotset/seed_42/fgsm/eps_003.json
edge_iiotset,42,fgsm,0.05,COMPLETED,3.3529586791992188,/workspace/results/adversarial/edge_iiotset/seed_42/fgsm/eps_005.json
edge_iiotset,42,pgd,0.01,COMPLETED,6.383922815322876,/workspace/results/adversarial/edge_iiotset/seed_42/pgd/eps_001.json
edge_iiotset,42,pgd,0.03,COMPLETED,6.182745695114136,/workspace/results/adversarial/edge_iiotset/seed_42/pgd/eps_003.json
edge_iiotset,42,pgd,0.05,COMPLETED,5.249989748001099,/workspace/results/adversarial/edge_iiotset/seed_42/pgd/eps_005.json
edge_iiotset,123,fgsm,0.01,COMPLETED,3.644209384918213,/workspace/results/adversarial/edge_iiotset/seed_123/fgsm/eps_001.json
edge_iiotset,123,fgsm,0.03,COMPLETED,4.504566192626953,/workspace/results/adversarial/edge_iiotset/seed_123/fgsm/eps_003.json
edge_iiotset,123,fgsm,0.05,COMPLETED,3.770315647125244,/workspace/results/adversarial/edge_iiotset/seed_123/fgsm/eps_005.json
edge_iiotset,123,pgd,0.01,COMPLETED,9.662088632583618,/workspace/results/adversarial/edge_iiotset/seed_123/pgd/eps_001.json
edge_iiotset,123,pgd,0.03,COMPLETED,6.461603403091431,/workspace/results/adversarial/edge_iiotset/seed_123/pgd/eps_003.json
edge_iiotset,123,pgd,0.05,COMPLETED,6.497008323669434,/workspace/results/adversarial/edge_iiotset/seed_123/pgd/eps_005.json
edge_iiotset,2026,fgsm,0.01,COMPLETED,3.602898120880127,/workspace/results/adversarial/edge_iiotset/seed_2026/fgsm/eps_001.json
edge_iiotset,2026,fgsm,0.03,COMPLETED,3.103753089904785,/workspace/results/adversarial/edge_iiotset/seed_2026/fgsm/eps_003.json
edge_iiotset,2026,fgsm,0.05,COMPLETED,3.254249095916748,/workspace/results/adversarial/edge_iiotset/seed_2026/fgsm/eps_005.json
edge_iiotset,2026,pgd,0.01,COMPLETED,5.278310060501099,/workspace/results/adversarial/edge_iiotset/seed_2026/pgd/eps_001.json
edge_iiotset,2026,pgd,0.03,COMPLETED,5.308691024780273,/workspace/results/adversarial/edge_iiotset/seed_2026/pgd/eps_003.json
edge_iiotset,2026,pgd,0.05,COMPLETED,5.1855690479278564,/workspace/results/adversarial/edge_iiotset/seed_2026/pgd/eps_005.json
ton_iot,42,fgsm,0.01,COMPLETED,0.5395703315734863,/workspace/results/adversarial/ton_iot/seed_42/fgsm/eps_001.json
ton_iot,42,fgsm,0.03,COMPLETED,0.3741798400878906,/workspace/results/adversarial/ton_iot/seed_42/fgsm/eps_003.json
ton_iot,42,fgsm,0.05,COMPLETED,0.4183964729309082,/workspace/results/adversarial/ton_iot/seed_42/fgsm/eps_005.json
ton_iot,42,pgd,0.01,COMPLETED,0.6997652053833008,/workspace/results/adversarial/ton_iot/seed_42/pgd/eps_001.json
ton_iot,42,pgd,0.03,COMPLETED,1.2372281551361084,/workspace/results/adversarial/ton_iot/seed_42/pgd/eps_003.json
ton_iot,42,pgd,0.05,COMPLETED,0.7224147319793701,/workspace/results/adversarial/ton_iot/seed_42/pgd/eps_005.json
ton_iot,123,fgsm,0.01,COMPLETED,0.43369579315185547,/workspace/results/adversarial/ton_iot/seed_123/fgsm/eps_001.json
ton_iot,123,fgsm,0.03,COMPLETED,0.44861388206481934,/workspace/results/adversarial/ton_iot/seed_123/fgsm/eps_003.json
ton_iot,123,fgsm,0.05,COMPLETED,0.38939380645751953,/workspace/results/adversarial/ton_iot/seed_123/fgsm/eps_005.json
ton_iot,123,pgd,0.01,COMPLETED,1.1392860412597656,/workspace/results/adversarial/ton_iot/seed_123/pgd/eps_001.json
ton_iot,123,pgd,0.03,COMPLETED,1.444396734237671,/workspace/results/adversarial/ton_iot/seed_123/pgd/eps_003.json
ton_iot,123,pgd,0.05,COMPLETED,0.9695641994476318,/workspace/results/adversarial/ton_iot/seed_123/pgd/eps_005.json
ton_iot,2026,fgsm,0.01,COMPLETED,0.39622926712036133,/workspace/results/adversarial/ton_iot/seed_2026/fgsm/eps_001.json
ton_iot,2026,fgsm,0.03,COMPLETED,0.34748411178588867,/workspace/results/adversarial/ton_iot/seed_2026/fgsm/eps_003.json
ton_iot,2026,fgsm,0.05,COMPLETED,0.4510183334350586,/workspace/results/adversarial/ton_iot/seed_2026/fgsm/eps_005.json
ton_iot,2026,pgd,0.01,COMPLETED,0.9222562313079834,/workspace/results/adversarial/ton_iot/seed_2026/pgd/eps_001.json
ton_iot,2026,pgd,0.03,COMPLETED,0.8367435932159424,/workspace/results/adversarial/ton_iot/seed_2026/pgd/eps_003.json
ton_iot,2026,pgd,0.05,COMPLETED,1.180375337600708,/workspace/results/adversarial/ton_iot/seed_2026/pgd/eps_005.json
