feature,unique_values,exclusive_values,max_class_purity,univariate_auc,status
arp.opcode,4,3,1.0,0.5000403918983546,POTENTIAL_PROXY
arp.hw.size,3,2,1.0,0.5000403918983546,POTENTIAL_PROXY
http.content_length,1,0,0.5579009624326962,0.5,NORMAL
http.response,2,1,1.0,0.5000032313518684,NORMAL
tcp.connection.fin,3,1,1.0,0.4715407082105749,NORMAL
tcp.connection.rst,2,1,1.0,0.5011212790983236,NORMAL
tcp.len,334,292,1.0,0.8963781568317,POTENTIAL_PROXY
tcp.srcport,35642,25432,1.0,0.36077219036770125,POTENTIAL_PROXY
udp.port,405,404,1.0,0.49687987319763705,POTENTIAL_PROXY
udp.time_delta,961,960,1.0,0.4973599911914352,POTENTIAL_PROXY
dns.qry.name.len,5,4,1.0,0.4972063534334198,POTENTIAL_PROXY
dns.qry.qu,2,1,1.0,0.5,NORMAL
mqtt.len,42,41,1.0,0.15836211907438374,POTENTIAL_PROXY
mqtt.msgtype,4,3,1.0,0.1228564331970225,POTENTIAL_PROXY
mqtt.proto_len,4,3,1.0,0.4647388542208133,POTENTIAL_PROXY
mqtt.topic_len,7,6,1.0,0.1936232648535704,POTENTIAL_PROXY
mqtt.ver,20,19,1.0,0.37684397317484747,POTENTIAL_PROXY
mbtcp.len,44390,44389,1.0,0.41197580717437116,POTENTIAL_PROXY
http.request.method,3,2,1.0,,POTENTIAL_PROXY
http.request.version,4,3,1.0,,POTENTIAL_PROXY
tcp.flags,10,3,1.0,,POTENTIAL_PROXY
mqtt.protoname,3,2,1.0,,POTENTIAL_PROXY
