epoch,train_loss,validation_loss
1,0.09069645815196703,0.0012862638104707003
2,0.0007928313116600181,0.0006362993735820055
3,0.0003160201662392982,0.00014540416304953396
4,0.00014703461469072108,5.8371842897031456e-05
5,0.00019028829863823935,0.000477855559438467
6,8.943586304369559e-05,4.9805799790192395e-05
7,3.224049960302219e-05,3.574206493794918e-05
8,6.185787359972679e-05,0.0004212719213683158
9,6.813999053195653e-05,9.043386671692133e-05
10,2.2819928143854927e-05,3.0195624276529998e-05
11,1.55984387818439e-05,2.081232196360361e-05
12,1.0552182422479586e-05,1.805502142815385e-05
13,9.109966397278313e-06,1.3779738765151706e-05
14,7.73270555157856e-06,6.6282686930208e-06
15,6.477006001915199e-06,6.2596136558568105e-06
