dataset,metric,mean,std,n
cic_iot_2023,accuracy,0.9782044444444443,1.0183501544352459e-05,3
cic_iot_2023,precision,0.9877427018312973,0.0007978695679755622,3
cic_iot_2023,attack_recall,0.9892883679176072,0.0008145961505566521,3
cic_iot_2023,specificity,0.7757801463978424,0.014956284434612232,3
cic_iot_2023,f1,0.9885144923157009,8.710465709480782e-06,3
cic_iot_2023,roc_auc,0.9930333686974174,2.4263918123656794e-05,3
cic_iot_2023,pr_auc,0.9996223374013722,1.3128512819547244e-06,3
cic_iot_2023,mcc,0.7756781157384606,0.003067237282801165,3
edge_iiotset,accuracy,1.0,0.0,3
edge_iiotset,precision,1.0,0.0,3
edge_iiotset,attack_recall,1.0,0.0,3
edge_iiotset,specificity,1.0,0.0,3
edge_iiotset,f1,1.0,0.0,3
edge_iiotset,roc_auc,1.0,0.0,3
edge_iiotset,pr_auc,1.0,0.0,3
edge_iiotset,mcc,1.0,0.0,3
ton_iot,accuracy,0.9908531961312753,0.0009295478766134527,3
ton_iot,precision,0.9926560674976663,0.00021055127629984705,3
ton_iot,attack_recall,0.9956284153005465,0.0010006081180631615,3
ton_iot,specificity,0.9739930225182366,0.0007267008713852965,3
ton_iot,f1,0.9941399102447197,0.0005980083566305237,3
ton_iot,roc_auc,0.9983865644742339,9.167488217999407e-05,3
ton_iot,pr_auc,0.9995171286988622,2.5606633379585296e-05,3
ton_iot,mcc,0.9733347032477851,0.0026949206215459947,3
