label_value,duplicate_rows
DDoS-ICMP_Flood,5222143
DDoS-UDP_Flood,3370218
DDoS-TCP_Flood,2876740
DDoS-RSTFINFLOOD,2742573
DDoS-PSHACK_FLOOD,2389678
DDoS-SynonymousIP_Flood,2383442
DDoS-SYN_Flood,2223721
DoS-TCP_Flood,1507351
DoS-UDP_Flood,1301517
DoS-SYN_Flood,843555
Mirai-udpplain,91228
Mirai-greeth_flood,55528
Mirai-greip_flood,27236
MITM-ArpSpoofing,26640
DNS_Spoofing,4687
Benign_Final,4251
DDoS-ICMP_Fragmentation,2157
Recon-PortScan,2040
Recon-OSScan,1756
DDoS-UDP_Fragmentation,1616
VulnerabilityScan,1351
DDoS-ACK_Fragmentation,1319
Recon-HostDiscovery,846
DoS-HTTP_Flood,372
BrowserHijacking,71
CommandInjection,21
Backdoor_Malware,3
DictionaryBruteForce,2
