feature,dtype,missing,missing_pct,cardinality_approx,min,max,mean,std,positive_inf,negative_inf,percentiles_approx
Header_Length,DOUBLE,0,0.0,5912,0.0,60.0,13.767215928546786,8.73733394134803,0.0,0.0,"[ 0.          0.          7.98931625 19.97975455 20.         20.57024119
 31.99999017]"
Protocol Type,BIGINT,0,0.0,5,0.0,47.0,9.050382797418372,9.100496532640305,0.0,0.0,[ 1  1  6  6 12 17 47]
Time_To_Live,DOUBLE,0,0.0,33419,0.0,255.0,66.51947754731128,14.424796235070042,0.0,0.0,"[ 62.19166365  63.36        64.          64.          64.
  70.81405717 143.77283237]"
Rate,DOUBLE,0,0.0,962125,1.272070358718431e-05,15728640.0,28452.277239495732,31165.27083346699,1037.0,0.0,"[6.78822927e+01 1.00177069e+03 1.14028381e+04 2.46640137e+04
 3.80405381e+04 6.34994859e+04 1.34537349e+05]"
fin_flag_number,DOUBLE,1,2.137816477006715e-06,492,0.0,1.0,0.08737627986776281,0.28000666951068076,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
syn_flag_number,DOUBLE,1,2.137816477006715e-06,744,0.0,1.0,0.20751267007110946,0.4002294061623257,0.0,0.0,"[0.         0.         0.         0.         0.00934968 1.
 1.        ]"
rst_flag_number,DOUBLE,1,2.137816477006715e-06,860,0.0,1.0,0.09340091182609277,0.28396788292196123,0.0,0.0,[0. 0. 0. 0. 0. 1. 1.]
psh_flag_number,DOUBLE,1,2.137816477006715e-06,1158,0.0,1.0,0.09435024248942,0.27762663973608964,0.0,0.0,"[0.         0.         0.         0.         0.         0.99999707
 1.        ]"
ack_flag_number,DOUBLE,1,2.137816477006715e-06,1649,0.0,1.0,0.1304484184391467,0.3172945159186918,0.0,0.0,"[0.         0.         0.         0.         0.00804005 1.
 1.        ]"
ece_flag_number,DOUBLE,1,2.137816477006715e-06,63,0.0,1.0,2.8354138868339377e-05,0.0020302989577119586,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
cwr_flag_number,DOUBLE,1,2.137816477006715e-06,44,0.0,1.0,1.4701435831937508e-05,0.0014138513329662755,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
ack_count,BIGINT,1,2.137816477006715e-06,98,0.0,100.0,9.905823217666557,28.085487856341853,0.0,0.0,[  0   0   0   0   1 100 100]
syn_count,BIGINT,1,2.137816477006715e-06,98,0.0,100.0,20.50515189197083,39.984322750455654,0.0,0.0,[  0   0   0   0   1 100 100]
fin_count,BIGINT,1,2.137816477006715e-06,98,0.0,100.0,8.653526385006346,27.993722106181558,0.0,0.0,[  0   0   0   0   0 100 100]
rst_count,BIGINT,1,2.137816477006715e-06,98,0.0,100.0,9.219482824130022,28.293428717684186,0.0,0.0,[  0   0   0   0   0 100 100]
HTTP,DOUBLE,1,2.137816477006715e-06,678,0.0,1.0,0.05048429873079165,0.21392307409657033,0.0,0.0,[0.       0.       0.       0.       0.       0.492744 1.      ]
HTTPS,DOUBLE,1,2.137816477006715e-06,931,0.0,1.0,0.05905263427673394,0.2200177452234018,0.0,0.0,"[0.         0.         0.         0.         0.         0.72127661
 1.        ]"
DNS,DOUBLE,1,2.137816477006715e-06,437,0.0,1.0,0.002639496276307744,0.022218485169835916,0.0,0.0,"[0.         0.         0.         0.         0.         0.00999938
 0.07401677]"
Telnet,DOUBLE,1,2.137816477006715e-06,23,0.0,0.6,1.0769044698547335e-05,0.0006963181325733523,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
