feature,dtype,missing,missing_pct,cardinality_approx,analysis_dtype,min,max,mean,std,positive_inf,negative_inf,percentiles_approx
frame.time,VARCHAR,0,0.0,24098505,,,,,,,,
ip.src_host,VARCHAR,0,0.0,4934364,,,,,,,,
ip.dst_host,VARCHAR,0,0.0,1829985,,,,,,,,
arp.dst.proto_ipv4,VARCHAR,0,0.0,30,,,,,,,,
arp.opcode,VARCHAR,0,0.0,9,DOUBLE_INFERRED,0.0,6.0,0.0006756399723920126,0.04335410945364331,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
arp.hw.size,VARCHAR,0,0.0,11,DOUBLE_INFERRED,0.0,6.0,0.0022217657168802293,0.11543681699668487,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
arp.src.proto_ipv4,VARCHAR,0,0.0,28,,,,,,,,
icmp.checksum,VARCHAR,0,0.0,57918,DOUBLE_INFERRED,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
icmp.seq_le,VARCHAR,0,0.0,137549,DOUBLE_INFERRED,0.0,65535.0,4800.8561053651865,13615.298450680915,0.0,0.0,"[    0.             0.             0.             0.
     0.         42730.05559609 60846.04600552]"
icmp.transmit_timestamp,VARCHAR,0,0.0,75,DOUBLE_INFERRED,0.0,77289023.0,316.2466394426463,155985.82953645333,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
icmp.unused,VARCHAR,0,0.0,1,DOUBLE_INFERRED,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0. 0. 0.]
http.file_data,VARCHAR,0,0.0,46256,,,,,,,,
http.content_length,VARCHAR,0,0.0,48,DOUBLE_INFERRED,0.0,83655.0,4.462850610373623,86.80815047309426,0.0,0.0,"[ 0.          0.          0.          0.          0.          0.
 11.41652709]"
http.request.uri.query,VARCHAR,0,0.0,5738,,,,,,,,
http.request.method,VARCHAR,0,0.0,10,,,,,,,,
http.referer,VARCHAR,0,0.0,5,,,,,,,,
http.request.full_uri,VARCHAR,0,0.0,12521,,,,,,,,
http.request.version,VARCHAR,0,0.0,12,,,,,,,,
http.response,VARCHAR,0,0.0,2,DOUBLE_INFERRED,0.0,1.0,0.007084882200579873,0.08387304091996149,0.0,0.0,"[0.         0.         0.         0.         0.         0.
 0.01872025]"
http.tls_port,VARCHAR,0,0.0,97500,DOUBLE_INFERRED,0.0,6950071.0,3228.3039230387753,65680.70273970439,0.0,0.0,"[   0.            0.            0.            0.            0.
    0.         2730.19147321]"
tcp.ack,VARCHAR,0,0.0,1476723,DOUBLE_INFERRED,0.0,4283119198.0,82804568.55119267,377151383.1121907,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000442e+00
 1.68286969e+01 5.86077182e+08 1.99100874e+09]"
tcp.ack_raw,VARCHAR,0,0.0,6648421,DOUBLE_INFERRED,0.0,4294964985.0,1145576740.013784,1337808341.228152,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 5.39969970e+08
 2.12191378e+09 3.83423091e+09 4.20041979e+09]"
tcp.checksum,VARCHAR,0,0.0,57918,,,,,,,,
