relative_path,file_name,extension,size_bytes,size_mib,size_gib,sha256,file_type,rows,columns_count,columns,encoding,inspection_seconds
Attack traffic/Backdoor_attack.csv,Backdoor_attack.csv,.csv,17889603,17.060855,0.016661,a3da7bfd919c5f238e5c721cbd0e24a0b2b717d7f231c87c3bc9bc083582295b,CSV,24862.0,63.0,"[""frame.time"", ""ip.src_host"", ""ip.dst_host"", ""arp.dst.proto_ipv4"", ""arp.opcode"", ""arp.hw.size"", ""arp.src.proto_ipv4"", ""icmp.checksum"", ""icmp.seq_le"", ""icmp.transmit_timestamp"", ""icmp.unused"", ""http.file_data"", ""http.content_length"", ""http.request.uri.query"", ""http.request.method"", ""http.referer"", ""http.request.full_uri"", ""http.request.version"", ""http.response"", ""http.tls_port"", ""tcp.ack"", ""tcp.ack_raw"", ""tcp.checksum"", ""tcp.connection.fin"", ""tcp.connection.rst"", ""tcp.connection.syn"", ""tcp.connection.synack"", ""tcp.dstport"", ""tcp.flags"", ""tcp.flags.ack"", ""tcp.len"", ""tcp.options"", ""tcp.payload"", ""tcp.seq"", ""tcp.srcport"", ""udp.port"", ""udp.stream"", ""udp.time_delta"", ""dns.qry.name"", ""dns.qry.name.len"", ""dns.qry.qu"", ""dns.qry.type"", ""dns.retransmission"", ""dns.retransmit_request"", ""dns.retransmit_request_in"", ""mqtt.conack.flags"", ""mqtt.conflag.cleansess"", ""mqtt.conflags"", ""mqtt.hdrflags"", ""mqtt.len"", ""mqtt.msg_decoded_as"", ""mqtt.msg"", ""mqtt.msgtype"", ""mqtt.proto_len"", ""mqtt.protoname"", ""mqtt.topic"", ""mqtt.topic_len"", ""mqtt.ver"", ""mbtcp.len"", ""mbtcp.trans_id"", ""mbtcp.unit_id"", ""Attack_label"", ""Attack_type""]",utf-8,0.925395
Attack traffic/Backdoor_attack.pcap,Backdoor_attack.pcap,.pcap,6694092,6.383984,0.006234,2f22c751442017f745397d517df9837da378362f670ad238faeac0decd58e3e9,PCAP,,,[],,0.356705
Attack traffic/DDoS HTTP Flood Attacks.pcap,DDoS HTTP Flood Attacks.pcap,.pcap,28307602,26.996233,0.026364,2fb2558d51defd1704a54a7a76df787048e9281d2efd8177703d66a7f78620ba,PCAP,,,[],,1.098057
Attack traffic/DDoS ICMP Flood Attacks.pcap,DDoS ICMP Flood Attacks.pcap,.pcap,212434878,202.593687,0.197845,1152be31c21b9b0f146eaef63ede8092946ebe999a91935f557c5083b490e30b,PCAP,,,[],,7.453985
Attack traffic/DDoS TCP SYN Flood Attacks.pcap,DDoS TCP SYN Flood Attacks.pcap,.pcap,282613890,269.521608,0.263205,5fa4d774b6b03c160e2c4c619c79ca55c5a673581c5c40d6f46350f50d55ae80,PCAP,,,[],,10.443482
Attack traffic/DDoS UDP Flood Attacks.pcap,DDoS UDP Flood Attacks.pcap,.pcap,247560012,236.091625,0.230558,6de0341f27093cac8a5eba657b8a49ecbac4dd5bf6c452a6274472df69172ce5,PCAP,,,[],,9.686348
Attack traffic/DDoS_HTTP_Flood_attack.csv,DDoS_HTTP_Flood_attack.csv,.csv,95709749,91.275929,0.089137,526ef4221d74c046d35db948e7aa534f2660270321510726f312409d6036ca33,CSV,229022.0,63.0,"[""frame.time"", ""ip.src_host"", ""ip.dst_host"", ""arp.dst.proto_ipv4"", ""arp.opcode"", ""arp.hw.size"", ""arp.src.proto_ipv4"", ""icmp.checksum"", ""icmp.seq_le"", ""icmp.transmit_timestamp"", ""icmp.unused"", ""http.file_data"", ""http.content_length"", ""http.request.uri.query"", ""http.request.method"", ""http.referer"", ""http.request.full_uri"", ""http.request.version"", ""http.response"", ""http.tls_port"", ""tcp.ack"", ""tcp.ack_raw"", ""tcp.checksum"", ""tcp.connection.fin"", ""tcp.connection.rst"", ""tcp.connection.syn"", ""tcp.connection.synack"", ""tcp.dstport"", ""tcp.flags"", ""tcp.flags.ack"", ""tcp.len"", ""tcp.options"", ""tcp.payload"", ""tcp.seq"", ""tcp.srcport"", ""udp.port"", ""udp.stream"", ""udp.time_delta"", ""dns.qry.name"", ""dns.qry.name.len"", ""dns.qry.qu"", ""dns.qry.type"", ""dns.retransmission"", ""dns.retransmit_request"", ""dns.retransmit_request_in"", ""mqtt.conack.flags"", ""mqtt.conflag.cleansess"", ""mqtt.conflags"", ""mqtt.hdrflags"", ""mqtt.len"", ""mqtt.msg_decoded_as"", ""mqtt.msg"", ""mqtt.msgtype"", ""mqtt.proto_len"", ""mqtt.protoname"", ""mqtt.topic"", ""mqtt.topic_len"", ""mqtt.ver"", ""mbtcp.len"", ""mbtcp.trans_id"", ""mbtcp.unit_id"", ""Attack_label"", ""Attack_type""]",utf-8,4.542776
Attack traffic/DDoS_ICMP_Flood_attack.csv,DDoS_ICMP_Flood_attack.csv,.csv,892080000,850.753784,0.830814,bd3a180a18e331976b1e320aa0def408fa9adeff002035758cd2d3e36f25d325,CSV,2914354.0,63.0,"[""frame.time"", ""ip.src_host"", ""ip.dst_host"", ""arp.dst.proto_ipv4"", ""arp.opcode"", ""arp.hw.size"", ""arp.src.proto_ipv4"", ""icmp.checksum"", ""icmp.seq_le"", ""icmp.transmit_timestamp"", ""icmp.unused"", ""http.file_data"", ""http.content_length"", ""http.request.uri.query"", ""http.request.method"", ""http.referer"", ""http.request.full_uri"", ""http.request.version"", ""http.response"", ""http.tls_port"", ""tcp.ack"", ""tcp.ack_raw"", ""tcp.checksum"", ""tcp.connection.fin"", ""tcp.connection.rst"", ""tcp.connection.syn"", ""tcp.connection.synack"", ""tcp.dstport"", ""tcp.flags"", ""tcp.flags.ack"", ""tcp.len"", ""tcp.options"", ""tcp.payload"", ""tcp.seq"", ""tcp.srcport"", ""udp.port"", ""udp.stream"", ""udp.time_delta"", ""dns.qry.name"", ""dns.qry.name.len"", ""dns.qry.qu"", ""dns.qry.type"", ""dns.retransmission"", ""dns.retransmit_request"", ""dns.retransmit_request_in"", ""mqtt.conack.flags"", ""mqtt.conflag.cleansess"", ""mqtt.conflags"", ""mqtt.hdrflags"", ""mqtt.len"", ""mqtt.msg_decoded_as"", ""mqtt.msg"", ""mqtt.msgtype"", ""mqtt.proto_len"", ""mqtt.protoname"", ""mqtt.topic"", ""mqtt.topic_len"", ""mqtt.ver"", ""mbtcp.len"", ""mbtcp.trans_id"", ""mbtcp.unit_id"", ""Attack_label"", ""Attack_type""]",utf-8,41.779141
Attack traffic/DDoS_TCP_SYN_Flood_attack.csv,DDoS_TCP_SYN_Flood_attack.csv,.csv,941188405,897.587209,0.87655,623e8a331af6412b002a6ee18df1fb914d026de4906bdebdc3d29890487283e1,CSV,2020120.0,63.0,"[""frame.time"", ""ip.src_host"", ""ip.dst_host"", ""arp.dst.proto_ipv4"", ""arp.opcode"", ""arp.hw.size"", ""arp.src.proto_ipv4"", ""icmp.checksum"", ""icmp.seq_le"", ""icmp.transmit_timestamp"", ""icmp.unused"", ""http.file_data"", ""http.content_length"", ""http.request.uri.query"", ""http.request.method"", ""http.referer"", ""http.request.full_uri"", ""http.request.version"", ""http.response"", ""http.tls_port"", ""tcp.ack"", ""tcp.ack_raw"", ""tcp.checksum"", ""tcp.connection.fin"", ""tcp.connection.rst"", ""tcp.connection.syn"", ""tcp.connection.synack"", ""tcp.dstport"", ""tcp.flags"", ""tcp.flags.ack"", ""tcp.len"", ""tcp.options"", ""tcp.payload"", ""tcp.seq"", ""tcp.srcport"", ""udp.port"", ""udp.stream"", ""udp.time_delta"", ""dns.qry.name"", ""dns.qry.name.len"", ""dns.qry.qu"", ""dns.qry.type"", ""dns.retransmission"", ""dns.retransmit_request"", ""dns.retransmit_request_in"", ""mqtt.conack.flags"", ""mqtt.conflag.cleansess"", ""mqtt.conflags"", ""mqtt.hdrflags"", ""mqtt.len"", ""mqtt.msg_decoded_as"", ""mqtt.msg"", ""mqtt.msgtype"", ""mqtt.proto_len"", ""mqtt.protoname"", ""mqtt.topic"", ""mqtt.topic_len"", ""mqtt.ver"", ""mbtcp.len"", ""mbtcp.trans_id"", ""mbtcp.unit_id"", ""Attack_label"", ""Attack_type""]",utf-8,27.104562
Attack traffic/DDoS_UDP_Flood_attack.csv,DDoS_UDP_Flood_attack.csv,.csv,900233551,858.529616,0.838408,62dcd279cd2068d2f7055028fd823dfec526bd6167a5b6180eca460e1b5c9333,CSV,3201626.0,63.0,"[""frame.time"", ""ip.src_host"", ""ip.dst_host"", ""arp.dst.proto_ipv4"", ""arp.opcode"", ""arp.hw.size"", ""arp.src.proto_ipv4"", ""icmp.checksum"", ""icmp.seq_le"", ""icmp.transmit_timestamp"", ""icmp.unused"", ""http.file_data"", ""http.content_length"", ""http.request.uri.query"", ""http.request.method"", ""http.referer"", ""http.request.full_uri"", ""http.request.version"", ""http.response"", ""http.tls_port"", ""tcp.ack"", ""tcp.ack_raw"", ""tcp.checksum"", ""tcp.connection.fin"", ""tcp.connection.rst"", ""tcp.connection.syn"", ""tcp.connection.synack"", ""tcp.dstport"", ""tcp.flags"", ""tcp.flags.ack"", ""tcp.len"", ""tcp.options"", ""tcp.payload"", ""tcp.seq"", ""tcp.srcport"", ""udp.port"", ""udp.stream"", ""udp.time_delta"", ""dns.qry.name"", ""dns.qry.name.len"", ""dns.qry.qu"", ""dns.qry.type"", ""dns.retransmission"", ""dns.retransmit_request"", ""dns.retransmit_request_in"", ""mqtt.conack.flags"", ""mqtt.conflag.cleansess"", ""mqtt.conflags"", ""mqtt.hdrflags"", ""mqtt.len"", ""mqtt.msg_decoded_as"", ""mqtt.msg"", ""mqtt.msgtype"", ""mqtt.proto_len"", ""mqtt.protoname"", ""mqtt.topic"", ""mqtt.topic_len"", ""mqtt.ver"", ""mbtcp.len"", ""mbtcp.trans_id"", ""mbtcp.unit_id"", ""Attack_label"", ""Attack_type""]",utf-8,21.976169
