feature,dtype,missing,missing_pct,cardinality_approx,analysis_dtype,min,max,mean,std,positive_inf,negative_inf,percentiles_approx
src_ip,VARCHAR,0,0.0,47,,,,,,,,
src_port,BIGINT,0,0.0,26236,BIGINT,1.0,65528.0,38646.519543410584,19307.271048205715,0.0,0.0,[   19    59 34623 44764 51191 60114 62947]
dst_ip,VARCHAR,0,0.0,649,,,,,,,,
dst_port,BIGINT,0,0.0,2193,BIGINT,0.0,65467.0,3495.153769610932,10191.624777763001,0.0,0.0,[   17    28    66    80  1250 16207 51782]
proto,VARCHAR,0,0.0,3,,,,,,,,
service,VARCHAR,0,0.0,10,,,,,,,,
duration,DOUBLE,0,0.0,69063,DOUBLE,0.0,93516.92917,7.700886871268595,564.1419464210936,0.0,0.0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.72884744e-04
 6.72921582e-02 9.50840429e+00 1.14412337e+02]"
src_bytes,BIGINT,0,0.0,3078,BIGINT,0.0,3890855126.0,258113.56427363143,17094901.24984305,0.0,0.0,[   0    0    0    0  125  392 3079]
dst_bytes,BIGINT,0,0.0,2481,BIGINT,0.0,3913853482.0,258804.57157546093,18025629.24832742,0.0,0.0,[    0     0     0     0    93  3440 12183]
conn_state,VARCHAR,0,0.0,13,,,,,,,,
missed_bytes,BIGINT,0,0.0,656,BIGINT,0.0,1854527046.0,34432.344294764574,5261620.89688417,0.0,0.0,[ 0  0  0  0  0  0 32]
src_pkts,BIGINT,0,0.0,319,BIGINT,0.0,24623.0,9.595219931483157,91.77882115020968,0.0,0.0,[  0   0   1   1   4  95 120]
src_ip_bytes,BIGINT,0,0.0,3984,BIGINT,0.0,6522626.0,776.0822059959345,22297.027458685174,0.0,0.0,[   0    0   47   82  403 4740 4800]
dst_pkts,BIGINT,0,0.0,234,BIGINT,0.0,121942.0,3.846860592391124,330.70579609967615,0.0,0.0,[ 0  0  0  1  2  7 12]
dst_ip_bytes,BIGINT,0,0.0,3994,BIGINT,0.0,86395523.0,1584.6866278436148,190179.5240802629,0.0,0.0,[    0     0     0    40   139  3759 12815]
dns_query,VARCHAR,0,0.0,535,,,,,,,,
dns_qclass,BIGINT,0,0.0,3,BIGINT,0.0,32769.0,227.6308050965917,2720.7135624255584,0.0,0.0,[  0   0   0   0   0   1 201]
dns_qtype,BIGINT,0,0.0,10,BIGINT,0.0,255.0,3.6109086773785437,23.79774719411225,0.0,0.0,[ 0  0  0  0  0 17 71]
dns_rcode,BIGINT,0,0.0,4,BIGINT,0.0,5.0,0.12398895011917002,0.598804184940008,0.0,0.0,[0 0 0 0 0 0 3]
dns_AA,VARCHAR,0,0.0,3,,,,,,,,
dns_RD,VARCHAR,0,0.0,3,,,,,,,,
dns_RA,VARCHAR,0,0.0,3,,,,,,,,
dns_rejected,VARCHAR,0,0.0,3,,,,,,,,
ssl_version,VARCHAR,0,0.0,4,,,,,,,,
ssl_cipher,VARCHAR,0,0.0,6,,,,,,,,
ssl_resumed,VARCHAR,0,0.0,3,,,,,,,,
ssl_established,VARCHAR,0,0.0,3,,,,,,,,
ssl_subject,VARCHAR,0,0.0,6,,,,,,,,
ssl_issuer,VARCHAR,0,0.0,5,,,,,,,,
http_trans_depth,VARCHAR,0,0.0,9,,,,,,,,
http_method,VARCHAR,0,0.0,4,,,,,,,,
http_uri,VARCHAR,0,0.0,88,,,,,,,,
http_version,VARCHAR,0,0.0,2,,,,,,,,
http_request_body_len,BIGINT,0,0.0,6,BIGINT,0.0,2338.0,0.06541794800111826,9.243404805858654,0.0,0.0,[0 0 0 0 0 0 0]
http_response_body_len,BIGINT,0,0.0,65,BIGINT,0.0,13424384.0,144.92953094866922,30472.439240573887,0.0,0.0,[0 0 0 0 0 0 0]
http_status_code,BIGINT,0,0.0,9,BIGINT,0.0,404.0,0.3039048914202319,8.270377301051711,0.0,0.0,[0 0 0 0 0 0 0]
http_user_agent,VARCHAR,0,0.0,36,,,,,,,,
http_orig_mime_types,VARCHAR,0,0.0,3,,,,,,,,
http_resp_mime_types,VARCHAR,0,0.0,11,,,,,,,,
weird_name,VARCHAR,0,0.0,12,,,,,,,,
weird_addl,VARCHAR,0,0.0,3,,,,,,,,
weird_notice,VARCHAR,0,0.0,2,,,,,,,,
label,BIGINT,0,0.0,2,BIGINT,0.0,1.0,0.7630814573333397,0.4251929014608673,0.0,0.0,[0 0 1 1 1 1 1]
type,VARCHAR,0,0.0,11,,,,,,,,
source_file,VARCHAR,0,0.0,1,,,,,,,,
