dataset,attack,budget,attack_recall,attack_success_rate,clean_to_adv_attack_recall_drop,runtime_seconds
cic_iot_2023,FGSM,0.01,0.9879407938684386,0.0004801556831291667,0.0004746334774812333,0.04317069053649897
cic_iot_2023,FGSM,0.03,0.987307949231797,0.0011382352437605333,0.0011074781141229666,0.027089516321818
cic_iot_2023,FGSM,0.05,0.9864817354006258,0.002009687079758567,0.001933691945294,0.031933466593424435
cic_iot_2023,PGD,0.01,0.9879407938684386,0.0004801556831291667,0.0004746334774812333,0.47211384773254395
cic_iot_2023,PGD,0.03,0.9872903702141125,0.0011382352437605333,0.0011250571318074333,0.4975101947784424
cic_iot_2023,PGD,0.05,0.9864289983475724,0.002009687079758567,0.0019864289983475,0.47908369700113934
edge_iiotset,FGSM,0.01,0.9180622105636105,0.08193778943638948,0.08193778943638948,0.055333693822224896
edge_iiotset,FGSM,0.03,0.0014324217351150334,0.998567578264885,0.998567578264885,0.09088190396626787
edge_iiotset,FGSM,0.05,0.0009172525145912,0.9990827474854088,0.9990827474854088,0.08881767590840654
edge_iiotset,PGD,0.01,0.9247224682888214,0.0752775317111785,0.0752775317111785,2.10312549273173
edge_iiotset,PGD,0.03,0.0014198566321754335,0.9985801433678244,0.9985801433678244,1.9234707355499268
edge_iiotset,PGD,0.05,0.0008104491396045333,0.9991895508603954,0.9991895508603954,1.7709547678629558
ton_iot,FGSM,0.01,0.8120963257624364,0.18431551047219363,0.1835835578938363,0.021705230077107663
ton_iot,FGSM,0.03,0.8317079430257923,0.1654541114148658,0.1639719406304803,0.020173708597818932
ton_iot,FGSM,0.05,0.8760639890500022,0.12154399253219463,0.11961589460627053,0.025699138641357366
ton_iot,PGD,0.01,0.8199452500106933,0.1764379399778527,0.17573463364557929,0.4475351969401042
ton_iot,PGD,0.03,0.7958210359724539,0.2006620468085737,0.19985884768381879,0.598605235417684
ton_iot,PGD,0.05,0.7918217203473202,0.20487427669681202,0.20385816330895246,0.5079031785329183
