reference_key,authors,year,title,venue,doi_or_permanent_url,study_type,relevance,claim_supported,q1_claim,q1_evidence,bibliographic_status
kreuzberger2023mlops,"Kreuzberger; Kuehl; Hirschl",2023,"Machine Learning Operations (MLOps): Overview, Definition, and Architecture",IEEE Access,https://doi.org/10.1109/ACCESS.2023.3262138,"peer-reviewed conceptual and architectural study","Defines MLOps lifecycle components","MLOps supports versioning, automation, tracking, and continuous evaluation",not_asserted,not_applicable,VERIFIED
zhang2022secmlops,"Zhang; Jaskolka",2022,"Conceptualizing the Secure Machine Learning Operations (SecMLOps) Paradigm","IEEE QRS 2022",https://doi.org/10.1109/QRS57517.2022.00023,"peer-reviewed conference paper","Connects security controls and MLOps lifecycle","Security should be integrated throughout the ML lifecycle",not_asserted,not_applicable,VERIFIED
zhang2026secmlops,"Zhang; Zhao; Jaskolka; Li; Lu",2026,"SecMLOps: A Comprehensive Framework for Integrating Security Throughout the Machine Learning Operations Lifecycle",Empirical Software Engineering,https://doi.org/10.1007/s10664-025-10795-y,"peer-reviewed framework study","Recent lifecycle-wide SecMLOps framework","Security and operational trade-offs span the lifecycle",not_asserted,not_applicable,VERIFIED
vitorino2023sok,"Vitorino; Praca; Maia",2023,"SoK: Realistic Adversarial Attacks and Defenses for Intelligent Network Intrusion Detection",Computers & Security,https://doi.org/10.1016/j.cose.2023.103433,"peer-reviewed systematization of knowledge","Assesses realism of adversarial NIDS evaluation","Communication-network constraints limit direct transfer of generic attacks",not_asserted,not_applicable,VERIFIED
simonetto2024caa,"Simonetto; Ghamizi; Cordy",2024,"Constrained Adaptive Attack: Effective Adversarial Attack Against Deep Neural Networks for Tabular Data",NeurIPS 2024,https://doi.org/10.52202/079017-0873,"peer-reviewed attack-method paper","Models heterogeneous tabular constraints","Categorical, immutable, and relational constraints affect attack effectiveness",not_asserted,not_applicable,VERIFIED
kireev2023cost,"Kireev; Kulynych; Troncoso",2023,"Adversarial Robustness for Tabular Data Through Cost and Utility Awareness",NDSS 2023,https://doi.org/10.14722/ndss.2023.24924,"peer-reviewed security conference paper","Develops tabular attacker cost and utility threat models","Image-oriented imperceptibility is insufficient for tabular attacker capability",not_asserted,not_applicable,VERIFIED
neto2023ciciot,"Neto; Dadkhah; Ferreira; Zohourian; Lu; Ghorbani",2023,"CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment",Sensors,https://doi.org/10.3390/s23135941,"original dataset paper","Primary source for CICIoT2023","Dataset topology and attack scope",not_asserted,not_applicable,VERIFIED
ferrag2022edge,"Ferrag; Friha; Hamouda; Maglaras; Janicke",2022,"Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning",IEEE Access,https://doi.org/10.1109/ACCESS.2022.3165809,"original dataset paper","Primary source for Edge-IIoTset","Dataset was designed for centralized and federated IoT/IIoT evaluation",not_asserted,not_applicable,VERIFIED
alsaedi2020ton,"Alsaedi; Moustafa; Tari; Mahmood; Anwar",2020,"TON_IoT Telemetry Dataset: A New Generation Dataset of IoT and IIoT for Data-Driven Intrusion Detection Systems",IEEE Access,https://doi.org/10.1109/ACCESS.2020.3022862,"original dataset paper","Primary source for ToN_IoT","Dataset combines heterogeneous telemetry and network data",not_asserted,not_applicable,VERIFIED
goodfellow2015fgsm,"Goodfellow; Shlens; Szegedy",2015,"Explaining and Harnessing Adversarial Examples",ICLR 2015,https://arxiv.org/abs/1412.6572,"foundational peer-reviewed attack paper","Original FGSM source","FGSM is an efficient first-order adversarial construction",not_asserted,not_applicable,VERIFIED
madry2018pgd,"Madry; Makelov; Schmidt; Tsipras; Vladu",2018,"Towards Deep Learning Models Resistant to Adversarial Attacks",ICLR 2018,https://openreview.net/forum?id=rJzIBfZAb,"foundational peer-reviewed robustness paper","Foundational projected-gradient source","Iterative projected optimization evaluates bounded adversaries",not_asserted,not_applicable,VERIFIED
nicolae2019art,"Nicolae et al.",2019,"Adversarial Robustness Toolbox v1.0.0",arXiv,https://arxiv.org/abs/1807.01069,"software framework paper","Supports systematic adversarial evaluation","ART provides a reusable adversarial robustness evaluation framework",not_asserted,not_applicable,VERIFIED
