,,,accuracy,accuracy,precision,precision,attack_recall,attack_recall,specificity,specificity,f1,f1,roc_auc,roc_auc,pr_auc,pr_auc,mcc,mcc,tp,tp,tn,tn,fp,fp,fn,fn,false_positive_rate,false_positive_rate,false_negative_rate,false_negative_rate,seed,seed,budget,budget,subset_N,subset_N,attack_success_rate,attack_success_rate,robust_attack_recall,robust_attack_recall,clean_to_adv_attack_recall_drop,clean_to_adv_attack_recall_drop,clean_to_adv_F1_drop,clean_to_adv_F1_drop,clean_to_adv_MCC_drop,clean_to_adv_MCC_drop,clean_to_adv_accuracy_drop,clean_to_adv_accuracy_drop,mean_Linf,mean_Linf,mean_L2,mean_L2,mean_changed_features,mean_changed_features,projection_collapse_rate,projection_collapse_rate,semantic_constraint_violations,semantic_constraint_violations,attack_generation_seconds,attack_generation_seconds,runtime_seconds,runtime_seconds,adversarial_samples_per_second,adversarial_samples_per_second,adversarial_sample_seed,adversarial_sample_seed
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,attack,budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cic_iot_2023,FGSM,0.01,0.97865,0.0004272001872658831,0.9895245231765513,0.0008722683249438985,0.9879407938684386,0.000528248750178056,0.8089274245343608,0.016158953918316135,0.988731706680061,0.000219290851127245,0.9926521060916409,4.447248250907173e-05,0.9996021243755145,2.5151398770057734e-06,0.7860998228797724,0.006629026533424646,18733.333333333332,10.016652800878251,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,228.66666666666666,10.016652800877809,0.19107257546563905,0.016158953918316146,0.012059206131561334,0.0005282487501781342,730.3333333333334,1122.8109072026925,0.01,0.0,20000.0,0.0,0.0004801556831291667,0.00023245272900201895,0.9879407938684386,0.000528248750178056,0.0004746334774812333,0.00022987548484021197,0.00024011504025596667,0.00011626119816028623,0.0036187043319098333,0.0017659134540634158,0.00044999999999996665,0.0002179449471769993,0.12120529760917025,1.517591153627168e-05,0.12120529760917025,1.517591153627168e-05,0.9481,0.0,0.0519,0.0,0.0,0.0,0.04317069053649897,0.026619640934429138,0.04317069053649897,0.026619640934429138,543548.2726749445,257202.56862366135,314159.0,0.0
cic_iot_2023,FGSM,0.03,0.97805,0.0005567764362830231,0.9895178587722401,0.0008731515143793696,0.987307949231797,0.0005997511552659798,0.8089274245343608,0.016158953918316135,0.9884113476571775,0.00028991950109005175,0.992354431338423,2.6191743033538486e-05,0.9995859945555833,1.5603456170536465e-06,0.7813519946021126,0.007383628392646197,18721.333333333332,11.37248140615516,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,240.66666666666666,11.37248140615465,0.19107257546563905,0.016158953918316146,0.012692050768203,0.0005997511552660566,730.3333333333334,1122.8109072026925,0.03,0.0,20000.0,0.0,0.0011382352437605333,6.139214103817403e-05,0.987307949231797,0.0005997511552659798,0.0011074781141229666,5.273705305344989e-05,0.0005604740631392334,2.677880681927295e-05,0.0083665326095696,0.00036885938211488154,0.0010499999999999334,4.999999999995004e-05,0.3513530393441518,1.621132201201847e-05,0.3513530393441518,1.621132201201847e-05,0.9481,0.0,0.0519,0.0,0.0,0.0,0.027089516321818,0.00817313600780175,0.027089516321818,0.00817313600780175,738454.818674312,191626.61546473228,314159.0,0.0
cic_iot_2023,FGSM,0.05,0.9772666666666666,0.0006506407098647827,0.9895091022507883,0.0008750832093676698,0.9864817354006258,0.0005202914104330742,0.8089274245343608,0.016158953918316135,0.9879928286727543,0.00033931622475065156,0.992121162176972,2.4564745746909528e-05,0.9995732705441438,1.4807565087133028e-06,0.7752542505631049,0.008278339108831134,18705.666666666668,9.865765724631972,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,256.3333333333333,9.865765724632487,0.19107257546563905,0.016158953918316146,0.013518264599374134,0.000520291410433117,730.3333333333334,1122.8109072026925,0.05000000000000001,0.0,20000.0,0.0,0.002009687079758567,6.041291556793153e-05,0.9864817354006258,0.0005202914104330742,0.001933691945294,8.055717918218872e-05,0.0009789930475626,4.032036319051548e-05,0.014464276648577266,0.0008382261012716277,0.0018333333333333333,7.637626158259733e-05,0.5791804790496826,1.9350039982451292e-05,0.5791804790496826,1.9350039982451292e-05,0.9481,0.0,0.0519,0.0,0.0,0.0,0.031933466593424435,0.015594807051543919,0.031933466593424435,0.015594807051543919,686994.7426991961,293919.86217383354,314159.0,0.0
cic_iot_2023,PGD,0.01,0.97865,0.0004272001872658831,0.9895245231765513,0.0008722683249438985,0.9879407938684386,0.000528248750178056,0.8089274245343608,0.016158953918316135,0.988731706680061,0.000219290851127245,0.9926505818993564,4.4945049095437606e-05,0.999602045395874,2.5369264422499516e-06,0.7860998228797724,0.006629026533424646,18733.333333333332,10.016652800878251,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,228.66666666666666,10.016652800877809,0.19107257546563905,0.016158953918316146,0.012059206131561334,0.0005282487501781342,730.3333333333334,1122.8109072026925,0.01,0.0,20000.0,0.0,0.0004801556831291667,0.00023245272900201895,0.9879407938684386,0.000528248750178056,0.0004746334774812333,0.00022987548484021197,0.00024011504025596667,0.00011626119816028623,0.0036187043319098333,0.0017659134540634158,0.00044999999999996665,0.0002179449471769993,0.12100891768932337,1.782800638390243e-05,0.12100891768932337,1.782800638390243e-05,0.9481,0.0,0.0519,0.0,0.0,0.0,0.47211384773254395,0.05906560278952186,0.47211384773254395,0.05906560278952186,40620.65164461912,5474.768689668169,314159.0,0.0
cic_iot_2023,PGD,0.03,0.9780333333333333,0.0005530220007679238,0.9895176646164082,0.0008733353281069774,0.9872903702141125,0.0005704384467034957,0.8089274245343608,0.016158953918316135,0.9884024521244101,0.0002875657173033709,0.9923357684506694,2.8789546568608252e-05,0.9995850141268424,1.6801897485035553e-06,0.7812185431626952,0.007426055357927794,18721.0,10.816653826391969,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,241.0,10.816653826391969,0.19107257546563905,0.016158953918316146,0.0127096297858875,0.0005704384467035137,730.3333333333334,1122.8109072026925,0.03,0.0,20000.0,0.0,0.0011382352437605333,6.139214103817403e-05,0.9872903702141125,0.0005704384467034957,0.0011250571318074333,6.0895503553353744e-05,0.0005693695959067,3.073010727632747e-05,0.008499984048986999,0.0005077076750018107,0.0010666666666666001,5.773502691890487e-05,0.3498201072216034,8.33554121951912e-05,0.3498201072216034,8.33554121951912e-05,0.9480833333333334,2.8867513459558234e-05,0.051916666666666667,2.8867513459483115e-05,0.0,0.0,0.4975101947784424,0.11841661776208752,0.4975101947784424,0.11841661776208752,39435.752645959976,8343.070148534916,314159.0,0.0
cic_iot_2023,PGD,0.05,0.9772166666666666,0.0006006940430312944,0.9895085728608981,0.0008746881644040782,0.9864289983475724,0.000528248750178021,0.8089274245343608,0.016158953918316135,0.9879661003802885,0.0003126368310060706,0.9920527259433852,2.7464909902393103e-05,0.9995696757100303,1.593818398665748e-06,0.7748711232289888,0.007910230475634472,18704.666666666668,10.016652800877297,839.6666666666666,16.772994167212158,198.33333333333334,16.772994167212165,257.3333333333333,10.016652800877806,0.19107257546563905,0.016158953918316146,0.013571001652427602,0.0005282487501781179,730.3333333333334,1122.8109072026925,0.05000000000000001,0.0,20000.0,0.0,0.002009687079758567,6.041291556793153e-05,0.9864289983475724,0.000528248750178021,0.0019864289983475,6.089550355341158e-05,0.0010057213400283666,3.026472004054382e-05,0.014847403982693469,0.0007092000232637721,0.0018833333333333334,5.773502691896244e-05,0.5752731760342916,0.000253380980755957,0.5752731760342916,0.000253380980755957,0.9480833333333334,2.8867513459558234e-05,0.051916666666666667,2.8867513459483115e-05,0.0,0.0,0.47908369700113934,0.09764901653655615,0.47908369700113934,0.09764901653655615,40839.97129580557,9290.24312642682,314159.0,0.0
edge_iiotset,FGSM,0.01,0.9479471908583866,0.08115149713897073,1.0,0.0,0.9180622105636105,0.1217478423074667,1.0,0.0,0.9543700296848351,0.06879337306305612,1.0,0.0,1.0,0.0,0.9060310261726764,0.14469302612973492,34324.666666666664,23017.279299112077,22255.333333333332,9610.572580930511,0.0,0.0,3994.0,6735.047735539816,0.0,0.0,0.08193778943638948,0.12174784230746671,730.3333333333334,1122.8109072026925,0.01,0.0,60574.0,35138.114733149814,0.08193778943638948,0.12174784230746671,0.9180622105636105,0.1217478423074667,0.08193778943638948,0.12174784230746671,0.045629970315164865,0.06879337306305612,0.09396897382732354,0.1446930261297349,0.052052809141613365,0.08115149713897075,3.5112737814585366,0.74101417834039,3.5112737814585366,0.74101417834039,0.5845448695910266,0.12336147141705044,0.41545513040897336,0.12336147141705042,0.0,0.0,0.055333693822224896,0.03764735910571053,0.055333693822224896,0.03764735910571053,707177.2290912904,33557.01418878628,314159.0,0.0
edge_iiotset,FGSM,0.03,0.34478920616861036,0.0010710050627427917,1.0,0.0,0.0014324217351150334,0.0016322547520297697,1.0,0.0,0.0028572118760694337,0.0032521226510355138,0.5610536729453073,0.42174302149532994,0.6975160514523261,0.27101328711148065,0.019925141164745034,0.012024442019145033,76.0,86.60254037844386,27804.0,0.0,0.0,0.0,52981.0,86.60254037844386,0.0,0.0,0.998567578264885,0.0016322547520298272,730.3333333333334,1122.8109072026925,0.03,0.0,80861.0,0.0,0.998567578264885,0.0016322547520298272,0.0014324217351150334,0.0016322547520297697,0.998567578264885,0.0016322547520298272,0.9971427881239306,0.0032521226510355866,0.9800748588352549,0.012024442019145055,0.6552107938313897,0.0010710050627427195,11.819592793782553,0.007977703142442286,11.819592793782553,0.007977703142442286,0.6558950956992039,0.0004426820926003561,0.34410490430079604,0.00044268209260036814,0.0,0.0,0.09088190396626787,0.029890707754754043,0.09088190396626787,0.029890707754754043,623014.5330014698,180207.52123973865,314159.0,0.0
edge_iiotset,FGSM,0.05,0.3444511775351116,0.00048552229511008096,1.0,0.0,0.0009172525145912,0.000739955487586835,1.0,0.0,0.0018320961369580333,0.001476570107256047,0.018843881805490566,0.026670176774402657,0.44534101024274525,0.006270669306476938,0.016887267390765365,0.00676269029563124,48.666666666666664,39.25981830489455,27804.0,0.0,0.0,0.0,53008.333333333336,39.259818304894026,0.0,0.0,0.9990827474854088,0.0007399554875868482,730.3333333333334,1122.8109072026925,0.05000000000000001,0.0,80861.0,0.0,0.9990827474854088,0.0007399554875868482,0.0009172525145912,0.000739955487586835,0.9990827474854088,0.0007399554875868482,0.9981679038630421,0.0014765701072560165,0.9831127326092345,0.0067626902956312495,0.6555488224648882,0.00048552229511001683,19.69931157430013,0.013294887161114667,19.69931157430013,0.013294887161114667,0.6558950956992039,0.0004426820926003561,0.34410490430079604,0.00044268209260036814,0.0,0.0,0.08881767590840654,0.012510435531064193,0.08881767590840654,0.012510435531064193,605715.0595583484,89094.34938866117,314159.0,0.0
edge_iiotset,PGD,0.01,0.9506065965051137,0.08329167009485183,1.0,0.0,0.9247224682888214,0.12693985215032538,1.0,0.0,0.9577473126401713,0.07145715814383857,1.0,0.0,1.0,0.0,0.9112082393837874,0.14881170398939317,49063.0,6735.047735539816,27804.0,0.0,0.0,0.0,3994.0,6735.047735539816,0.0,0.0,0.0752775317111785,0.1269398521503254,730.3333333333334,1122.8109072026925,0.01,0.0,80861.0,0.0,0.0752775317111785,0.1269398521503254,0.9247224682888214,0.12693985215032538,0.0752775317111785,0.1269398521503254,0.04225268735982863,0.07145715814383857,0.08879176061621263,0.14881170398939314,0.049393403494886266,0.08329167009485182,3.93989626566569,0.0026033939459761445,3.93989626566569,0.0026033939459761445,0.6559734194069659,0.00030702145131961567,0.3440265805930341,0.0003070214513195476,0.0,0.0,2.10312549273173,0.38192466660163243,2.10312549273173,0.38192466660163243,25813.12006942405,4860.151190061507,314159.0,0.0
edge_iiotset,PGD,0.03,0.34478096156779325,0.0010567249952395635,1.0,0.0,0.0014198566321754335,0.0016104913553360493,1.0,0.0,0.0028322466294982,0.003208881575550653,0.5610536367919395,0.4217429650545137,0.6975160324668782,0.2710132553269306,0.019860785673478903,0.01191297503852604,75.33333333333333,85.44783984006462,27804.0,0.0,0.0,0.0,52981.666666666664,85.44783984006514,0.0,0.0,0.9985801433678244,0.0016104913553361103,730.3333333333334,1122.8109072026925,0.03,0.0,80861.0,0.0,0.9985801433678244,0.0016104913553361103,0.0014198566321754335,0.0016104913553360493,0.9985801433678244,0.0016104913553361103,0.9971677533705018,0.003208881575550815,0.980139214326521,0.0119129750385261,0.6552190384322066,0.0010567249952394752,11.81883430480957,0.009291444580626425,11.81883430480957,0.009291444580626425,0.6559940309090084,0.000271321282561505,0.3440059690909915,0.0002713212825614569,0.0,0.0,1.9234707355499268,0.5556792573715902,1.9234707355499268,0.5556792573715902,29409.923181814836,9563.36274141703,314159.0,0.0
